"mileage","price","year","color","condition","state","soundSystem"
30,111835,2014,"Black","New","PA","Premium"
68055,28991,2007,"Black","Used","FL","unsp"
118338,23950,2008,"Black","Used","CA","Harman Kardon"
44256,34988,2008,"Black","Used","GA","unsp"
66925,26996,2007,"unsp","Used","FL","Premium"
64687,31995,2007,"Gray","Used","WA","Harman Kardon"
111820,21900,2007,"Black","Used","TX","Harman Kardon"
42751,46888,2010,"Silver","CPO","AZ","Premium"
38321,46300,2010,"White","Used","CA","Premium"
40259,44995,2012,"Black","Used","AL","Premium"
23477,57988,2012,"Red","CPO","CA","unsp"
14358,75994,2013,"Red","CPO","FL","Premium"
19786,63975,2012,"Black","CPO","CA","unsp"
14036,58995,2012,"Silver","CPO","FL","Premium"
138055,19499,2007,"Black","Used","NY","unsp"
22910,37977,2007,"Beige","Used","LA","Premium"
31574,49995,2011,"Black","Used","TX","Premium"
34889,52450,2012,"Black","Used","TX","Harman Kardon"
8606,56992,2012,"Black","CPO","NY","Premium"
28532,67000,2013,"Silver","Used","OH","Premium"
24040,73995,2013,"Black","CPO","NY","unsp"
31723,49495,2012,"Black","Used","NY","unsp"
26100,55997,2012,"White","Used","IN","Premium"
13,109122,2014,"White","New","CA","unsp"
514,104555,2014,"White","New","PA","Premium"
4569,94500,2014,"White","Used","MO","unsp"
97,125640,2014,"Black","New","PA","Premium"
18,105185,2014,"Black","New","IL","unsp"
127184,17888,2007,"Gray","Used","VA","Harman Kardon"
109948,21990,2007,"Black","Used","TX","unsp"
57108,37824,2009,"Black","Used","LA","Premium"
94308,25488,2007,"Black","Used","VA","Harman Kardon"
30710,46500,2011,"Black","Used","CA","Premium"
46315,46489,2011,"unsp","CPO","AL","Premium"
48284,47231,2011,"Black","CPO","VA","unsp"
39157,49998,2012,"White","CPO","CA","unsp"
23757,59750,2012,"unsp","Used","LA","Harman Kardon"
14500,64995,2013,"Gray","Used","CA","Harman Kardon"
15954,78887,2013,"Black","CPO","GA","Harman Kardon"
28392,56952,2011,"Black","CPO","NC","unsp"
44701,54995,2010,"Black","CPO","VA","unsp"
14592,53999,2013,"White","Used","FL","Premium"
19998,53995,2013,"Black","Used","NY","unsp"
36800,46900,2012,"Black","Used","IL","Harman Kardon"
10276,102980,2014,"White","Used","CA","unsp"
10,106855,2014,"unsp","New","MN","Premium"
8050,96992,2014,"Silver","CPO","IL","unsp"
73947,28992,2008,"Black","Used","TX","Harman Kardon"
42894,32850,2009,"Black","Used","CA","Premium"
97442,22533,2007,"Black","Used","VA","unsp"
23322,49991,2010,"Silver","CPO","FL","Harman Kardon"
18279,59991,2011,"Gray","Used","FL","Harman Kardon"
44939,38900,2010,"Black","Used","TX","unsp"
85587,24500,2008,"Black","Used","VA","Premium"
53767,39995,2009,"White","Used","NY","Premium"
20188,38993,2009,"White","Used","MD","Premium"
10334,49895,2010,"Silver","CPO","NY","unsp"
60364,36942,2011,"Silver","Used","NJ","Harman Kardon"
45734,35999,2011,"Black","Used","FL","Premium"
2704,79900,2013,"Black","Used","NJ","Premium"
10,105635,2014,"Blue","New","GA","unsp"
9,109875,2014,"Gray","New","FL","unsp"
14,99925,2014,"Silver","New","CA","unsp"
7,113435,2014,"Blue","New","CA","Premium"
5,111715,2014,"Black","New","NJ","unsp"
75505,24900,2007,"Beige","Used","NV","Harman Kardon"
48541,50895,2011,"Gray","CPO","CA","unsp"
40879,43999,2011,"White","Used","TX","Harman Kardon"
37655,52988,2011,"Black","CPO","CA","Premium"
8704,63888,2012,"Silver","Used","CA","unsp"
69395,30000,2008,"Blue","Used","GA","Premium"
44465,47995,2011,"White","Used","NJ","unsp"
16767,66888,2012,"Silver","CPO","TX","Harman Kardon"
29153,59993,2013,"Black","Used","OH","Premium"
23364,57991,2013,"Black","Used","TX","Harman Kardon"
14465,71987,2013,"White","Used","NJ","Premium"
29749,44592,2012,"Black","Used","NJ","Harman Kardon"
21922,46855,2012,"Black","Used","IL","Harman Kardon"
4363,103900,2014,"White","CPO","FL","unsp"
10,112265,2014,"Red","New","MA","unsp"
8,116960,2014,"White","New","NY","unsp"
21097,64995,2012,"Blue","Used","TX","unsp"
