"","time","COAST","temp","weekday"
"288","2010-06-29 16:00:00",15554.9427224738,32.1,1
"289","2010-06-29 17:00:00",15498.4350083809,32.1,1
"290","2010-06-29 18:00:00",15157.0116956253,32.1,1
"291","2010-06-30 09:00:00",11330.4170775175,27.1,1
"292","2010-06-30 10:00:00",11776.1976237833,27.1,1
"293","2010-06-30 11:00:00",12332.0013657008,27.1,1
"294","2010-06-30 12:00:00",12679.9500238797,27.1,1
"295","2010-06-30 13:00:00",12840.4604292488,27.1,1
"296","2010-06-30 14:00:00",12837.2167314891,27.1,1
"297","2010-06-30 15:00:00",12973.9184819253,27.1,1
"298","2010-06-30 16:00:00",12962.522043486,28.1,1
"299","2010-06-30 17:00:00",13008.6802182877,27.6,1
"300","2010-06-30 18:00:00",13055.7556297945,28.1,1
"301","2010-07-01 09:00:00",10767.8203564396,26.1,1
"302","2010-07-01 10:00:00",11227.8776066458,26.1,1
"303","2010-07-01 11:00:00",11807.1418992279,26.1,1
"304","2010-07-01 12:00:00",12170.1555230529,26.6,1
"305","2010-07-01 13:00:00",12207.5042184761,27.1,1
"306","2010-07-01 14:00:00",12112.6939245901,28.1,1
"307","2010-07-01 15:00:00",12034.5039200745,28.1,1
"308","2010-07-01 16:00:00",11983.3389955587,26.35,1
"309","2010-07-01 17:00:00",12044.636351692,24.6,1
"310","2010-07-01 18:00:00",12122.4271519645,24.6,1
"311","2010-07-02 09:00:00",10774.714449228,26.1,1
"312","2010-07-02 10:00:00",11241.9992775977,25.35,1
"313","2010-07-02 11:00:00",11690.9101875883,27.1,1
"314","2010-07-02 12:00:00",12088.260428391,27.1,1
"315","2010-07-02 13:00:00",12209.6101752633,27.6,1
"316","2010-07-02 14:00:00",12144.70267565,28.1,1
"317","2010-07-02 15:00:00",12004.9839637135,28.1,1
"318","2010-07-02 16:00:00",11876.8373339389,28.35,1
"319","2010-07-02 17:00:00",11880.9919580935,26.35,1
"320","2010-07-02 18:00:00",11741.4897775398,26.1,1
"321","2010-07-03 09:00:00",10180.6815757204,26.1,0
"322","2010-07-03 10:00:00",11140.9144136083,26.1,0
"323","2010-07-03 11:00:00",12003.6579149988,26.1,0
"324","2010-07-03 12:00:00",12567.534508394,28.1,0
"325","2010-07-03 13:00:00",12756.7342416001,29.1,0
"326","2010-07-03 14:00:00",12678.1062167918,30.1,0
"327","2010-07-03 15:00:00",12364.9449397907,31.1,0
"328","2010-07-03 16:00:00",12375.4397085528,30.1,0
"329","2010-07-03 17:00:00",12392.7899588517,26.6,0
"330","2010-07-03 18:00:00",12343.7121862155,26.1,0
"331","2010-07-04 09:00:00",9733.29755561658,25.1,0
"332","2010-07-04 10:00:00",10689.2168640738,25.1,0
"333","2010-07-04 11:00:00",11709.3153720004,25.1,0
"334","2010-07-04 12:00:00",12619.9863106547,27.1,0
"335","2010-07-04 13:00:00",13361.4690807538,29.1,0
"336","2010-07-04 14:00:00",13752.0041927167,29.1,0
"337","2010-07-04 15:00:00",14056.423596668,31.1,0
"338","2010-07-04 16:00:00",14275.773680811,32.1,0
"339","2010-07-04 17:00:00",14405.0393747236,32.1,0
"340","2010-07-04 18:00:00",14361.931605911,32.1,0
"341","2010-07-05 09:00:00",10433.3270801909,26.1,1
"342","2010-07-05 10:00:00",11502.4247481456,26.1,1
"343","2010-07-05 11:00:00",12682.9220947737,26.1,1
"344","2010-07-05 12:00:00",13702.4113739649,27.1,1
"345","2010-07-05 13:00:00",14552.3214876292,28.1,1
"346","2010-07-05 14:00:00",15184.1831592346,29.1,1
"347","2010-07-05 15:00:00",15634.0433429763,31.1,1
"348","2010-07-05 16:00:00",15806.0220112658,32.1,1
"349","2010-07-05 17:00:00",15773.6853807586,32.1,1
"350","2010-07-05 18:00:00",15263.4127992494,33.1,1
"351","2010-07-06 09:00:00",11312.8146566578,27.1,1
"352","2010-07-06 10:00:00",12330.5513214213,27.1,1
"353","2010-07-06 11:00:00",13348.4809822,27.1,1
"354","2010-07-06 12:00:00",14300.6213338197,27.1,1
"355","2010-07-06 13:00:00",14912.2026853522,29.1,1
"356","2010-07-06 14:00:00",15377.8036378967,30.1,1
"357","2010-07-06 15:00:00",15706.1867670105,31.1,1
"358","2010-07-06 16:00:00",15859.4865421871,32.1,1
"359","2010-07-06 17:00:00",15929.2739606859,32.1,1
"360","2010-07-06 18:00:00",15692.3856976278,34.1,1
"361","2010-07-07 09:00:00",10912.7681786274,27.1,1
"362","2010-07-07 10:00:00",11626.0604324387,27.1,1
"363","2010-07-07 11:00:00",12313.6583207124,27.1,1
"364","2010-07-07 12:00:00",12870.642972812,27.1,1
"365","2010-07-07 13:00:00",13009.6738731004,27.1,1
"366","2010-07-07 14:00:00",13097.597543179,28.1,1
"367","2010-07-07 15:00:00",13205.7806342379,27.85,1
"368","2010-07-07 16:00:00",13356.7613744491,26.1,1
"369","2010-07-07 17:00:00",13322.0695056332,24.35,1
"370","2010-07-07 18:00:00",13000.7545687947,28.1,1
"371","2010-07-08 09:00:00",10561.4332908341,28.1,1
